Date	Open	High	Low	Close	Volume	Ex-Dividend	Split Ratio	Adj. Open	Adj. High	Adj. Low	Adj. Close	Adj. Volume	+/-	% change	
2016-10-25	87.49	88.08	86.97	86.97	20760622.0	0.0	1.0	85.4752950609	86.0517086406	84.9672695331	84.9672695331	20760622.0	-	-0.594353640357	
2016-10-26	86.91	87.74	86.78	87.4	8464058.0	0.0	1.0	84.9086512029	85.7195381031	84.781644821	85.3873675657	8464058.0	+	0.563801633895	
2016-10-27	87.51	87.6	86.45	86.58	6598279.0	0.0	1.0	85.4948345043	85.5827619995	84.4592440052	84.5862503872	6598279.0	-	-1.06273568733	
2016-10-28	86.87	87.23	86.45	86.84	7020989.0	0.0	1.0	84.8695723162	85.221282297	84.4592440052	84.8402631511	7020989.0	-	-0.0345343617272	
2016-10-31	87.01	87.47	86.69	86.8	8207137.0	0.0	1.0	85.0063484198	85.4557556175	84.6937173258	84.8011842643	8207137.0	-	-0.241351568811	
2016-11-01	86.58	86.99	86.48	86.85	8564471.0	0.0	1.0	84.5862503872	84.9868089764	84.4885531703	84.8500328728	8564471.0	+	0.311850311833	
2016-11-02	86.77	87.41	86.56	86.74	7773237.0	0.0	1.0	84.7718750993	85.3971372874	84.5667109438	84.7425659342	7773237.0	-	-0.0345741616139	
2016-11-03	86.8	86.98	86.47	86.6	6899931.0	0.0	1.0	84.8011842643	84.9770392547	84.4787834486	84.6057898305	6899931.0	-	-0.230414746557	
2016-11-04	86.69	86.73	85.07	85.08	9378118.0	0.0	1.0	84.6937173258	84.7327962125	83.1110224121	83.1207921338	9378118.0	-	-1.85719229438	
2016-11-07	86.02	86.57	85.6	86.56	8878455.0	0.0	1.0	84.0391459726	84.5764806655	83.6288176616	84.5667109438	8878455.0	+	0.627760985782	
2016-11-08	86.77	87.69	86.59	87.46	7674584.0	0.0	1.0	84.7718750993	85.6706894947	84.5960201089	85.4459858958	7674584.0	+	0.795205716177	
2016-11-09	85.26	86.5422	84.31	85.93	11972512.0	0.0	1.0	83.2966471242	84.5493208392	82.3685235637	83.9512184774	11972512.0	+	0.785831574018	
2016-11-10	85.51	85.7	82.18	82.96	22094970.0	0.0	1.0	83.5408901664	83.7265148785	80.2875728438	81.0496111356	22094970.0	-	-2.98210735586	
2016-11-11	82.67	84.055	82.65	83.58	8905669.0	0.0	1.0	80.7662892066	82.1193956606	80.7467497632	81.6553338803	8905669.0	+	1.100762066	
