"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Ex-Dividend"	"Split Ratio"	"Adj. Open"	"Adj. High"	"Adj. Low"	"Adj. Close"	"Adj. Volume"	"+/-"	"% change"
"2016-07-29"	"2016-07-27"	"133.05"	"133.8"	"132.3"	"133.66"	"3559058.0"	"0.0"	"1.0"	"128.83459397933"	"129.56083182589"	"128.10835613278"	"129.42526742787"	"3559058.0"	"+"	"0.458474257803"
"2016-08-01"	"2016-07-30"	"133.21"	"134.23"	"132.7"	"133.21"	"3067127.0"	"0.0"	"1.0"	"128.98952471993"	"129.97720819125"	"128.49568298427"	"128.98952471993"	"3067127.0"	"-"	"0.0"
"2016-08-02"	"2016-07-31"	"132.95"	"133.4"	"131.35"	"131.6"	"3156760.0"	"0.0"	"1.0"	"128.73776226646"	"129.17350497439"	"127.18845486047"	"127.43053414266"	"3156760.0"	"-"	"-1.01541933057"
"2016-08-03"	"2016-08-01"	"131.77"	"132.4491"	"131.62"	"131.87"	"2359275.0"	"0.0"	"1.0"	"127.59514805454"	"128.25273221667"	"127.44990048523"	"127.69197976742"	"2359275.0"	"+"	"0.0758898080032"
"2016-08-04"	"2016-08-02"	"132.0"	"132.55"	"130.955"	"131.21"	"3009006.0"	"0.0"	"1.0"	"127.81786099415"	"128.35043541496"	"126.80596959462"	"127.05289046245"	"3009006.0"	"-"	"-0.598484848479"
"2016-08-05"	"2016-08-03"	"132.21"	"132.44"	"131.01"	"131.73"	"3120136.0"	"0.0"	"1.0"	"128.02120759119"	"128.2439205308"	"126.8592270367"	"127.55641536939"	"3120136.0"	"-"	"-0.363058770141"
"2016-08-08"	"2016-08-06"	"132.14"	"132.95"	"131.75"	"132.19"	"2443769.0"	"0.0"	"1.0"	"127.95342539218"	"128.73776226646"	"127.57578171197"	"128.00184124861"	"2443769.0"	"+"	"0.0378386559653"
"2016-08-09"	"2016-08-07"	"132.73"	"132.99"	"132.23"	"132.62"	"3013939.0"	"0.0"	"1.0"	"128.52473249814"	"128.77649495161"	"128.04057393376"	"128.41821761397"	"3013939.0"	"-"	"-0.082875009424"
"2016-08-10"	"2016-08-08"	"132.1"	"133.53"	"131.71"	"132.28"	"2642249.0"	"1.09"	"1.0"	"128.96872215253"	"130.36482565501"	"128.58796665185"	"129.14445546053"	"2642249.0"	"+"	"0.136260408777"
"2016-08-11"	"2016-08-09"	"132.85"	"133.56"	"132.3"	"133.0"	"2275674.0"	"0.0"	"1.0"	"129.70094426921"	"130.39411453968"	"129.16398138364"	"129.84738869255"	"2275674.0"	"+"	"0.112909296201"
