"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Ex-Dividend"	"Split Ratio"	"Adj. Open"	"Adj. High"	"Adj. Low"	"Adj. Close"
"2016-09-22"	"2016-09-19"	"810.0"	"819.06"	"807.71"	"815.95"	"1759290.0"	"0.0"	"1.0"	"810.0"	"819.06"	"807.71"	"815.95"
"2016-09-23"	"2016-09-20"	"815.14"	"817.0"	"812.73"	"814.96"	"1411673.0"	"0.0"	"1.0"	"815.14"	"817.0"	"812.73"	"814.96"
"2016-09-26"	"2016-09-23"	"809.82"	"810.08"	"800.45"	"802.65"	"1472732.0"	"0.0"	"1.0"	"809.82"	"810.08"	"800.45"	"802.65"
"2016-09-27"	"2016-09-24"	"801.83"	"813.49"	"801.83"	"810.73"	"1367271.0"	"0.0"	"1.0"	"801.83"	"813.49"	"801.83"	"810.73"
"2016-09-28"	"2016-09-25"	"804.08"	"810.25"	"802.7803"	"810.06"	"1470280.0"	"0.0"	"1.0"	"804.08"	"810.25"	"802.7803"	"810.06"
"2016-09-29"	"2016-09-26"	"807.23"	"813.91"	"800.855"	"802.64"	"1349974.0"	"0.0"	"1.0"	"807.23"	"813.91"	"800.855"	"802.64"
"2016-09-30"	"2016-09-27"	"803.6"	"808.09"	"801.5"	"804.06"	"1660201.0"	"0.0"	"1.0"	"803.6"	"808.09"	"801.5"	"804.06"
"2016-10-03"	"2016-09-30"	"802.55"	"803.54"	"796.23"	"800.38"	"1489212.0"	"0.0"	"1.0"	"802.55"	"803.54"	"796.23"	"800.38"
"2016-10-04"	"2016-10-01"	"805.0"	"806.5"	"799.67"	"802.79"	"1258706.0"	"0.0"	"1.0"	"805.0"	"806.5"	"799.67"	"802.79"
"2016-10-05"	"2016-10-02"	"806.0"	"808.5"	"800.71"	"801.23"	"1213820.0"	"0.0"	"1.0"	"806.0"	"808.5"	"800.71"	"801.23"
"2016-10-06"	"2016-10-03"	"804.08"	"806.945"	"800.51"	"803.08"	"1099909.0"	"0.0"	"1.0"	"804.08"	"806.945"	"800.51"	"803.08"
"2016-10-07"	"2016-10-04"	"805.93"	"805.94"	"796.82"	"800.71"	"1163899.0"	"0.0"	"1.0"	"805.93"	"805.94"	"796.82"	"800.71"
"2016-10-10"	"2016-10-07"	"803.93"	"817.38"	"802.24"	"814.17"	"1496115.0"	"0.0"	"1.0"	"803.93"	"817.38"	"802.24"	"814.17"
"2016-10-11"	"2016-10-08"	"814.17"	"819.86"	"807.37"	"809.57"	"1721575.0"	"0.0"	"1.0"	"814.17"	"819.86"	"807.37"	"809.57"
"2016-10-12"	"2016-10-09"	"811.96"	"814.5"	"808.5545"	"811.77"	"907876.0"	"0.0"	"1.0"	"811.96"	"814.5"	"808.5545"	"811.77"
"2016-10-13"	"2016-10-10"	"806.07"	"806.56"	"798.62"	"804.08"	"1368981.0"	"0.0"	"1.0"	"806.07"	"806.56"	"798.62"	"804.08"
"2016-10-14"	"2016-10-11"	"807.45"	"810.09"	"802.32"	"804.6"	"1111934.0"	"0.0"	"1.0"	"807.45"	"810.09"	"802.32"	"804.6"
"2016-10-17"	"2016-10-14"	"805.99"	"813.49"	"803.83"	"806.84"	"1056367.0"	"0.0"	"1.0"	"805.99"	"813.49"	"803.83"	"806.84"
"2016-10-18"	"2016-10-15"	"814.21"	"828.81"	"813.33"	"821.49"	"2289265.0"	"0.0"	"1.0"	"814.21"	"828.81"	"813.33"	"821.49"
"2016-10-19"	"2016-10-16"	"824.52"	"829.81"	"823.205"	"827.09"	"1500142.0"	"0.0"	"1.0"	"824.52"	"829.81"	"823.205"	"827.09"
"2016-10-20"	"2016-10-17"	"827.56"	"828.465"	"820.55"	"821.63"	"1393870.0"	"0.0"	"1.0"	"827.56"	"828.465"	"820.55"	"821.63"
