2-faced,farced_facet_fazed_faces_face_
avaricious,covetous_gluttonous_predatory_rapacious_selfish_
avariciously,atrociously_ferociously_do voraciously_
avenge,vindicate_chasten_punish_chastise_revenge_
averse,hostile_hesitant_antagonistic_loath_unwilling_
aversion,distaste_allergy_unwillingness_hostility_antagonism_
aweful,woeful_woful_earful_easeful_artful_
awful,depressing_dreadful_atrocious_horrific_distressing_
awfully,wickedly_dreadfully_clumsily_inadequately_incompletely_
awfulness,monstrosity_atrocity_rankness_egregiousness_flagrance_
awkward,amateurish_rude_stiff_artless_bulky_
awkwardness,ineptitude_ignorance_coarseness_greenness_rudeness_
ax,fire_hatchet_sack_can_discharge_
babble,gibberish_jargon_drivel_gab_ranting_
back-logged,clogged_back lot_backlashed_backland_
back-wood,backward_back door_back-door_backsword_back road_
back-woods,neck woods_neck-woods_backwards_backswords_babe woods_
backache,cache_backchat_backlash_backwash_backer_
backaches,backchats_batches_coaches_backchat_catches_
backaching,backing_batching_beaching_coaching_be aching_
backbite,lie_traduce_spite_malign_denigrate_
backbiting,lie_slander_abuse_spite_gossip_
backward,rearward_back_aback_abaft_about_
backwardness,retardation_idiocy_abnormality_slowness_mental retardation_
backwood,backward_backsword_backdoor_backed_back door_
backwoods,backcountry_outback_boondocks_frontier_isolation_
bad,poor_dreadful_atrocious_cheap_unacceptable_
badly,clumsily_awkwardly_poorly_carelessly_crudely_
baffle,mystify_elude_stump_dumbfound_bewilder_
baffled,mystify_elude_stump_dumbfound_bewilder_
bafflement,perplexity_confusion_surprise_discombobulation_daze_
baffling,enigmatic_mystifying_perplexing_unfathomable_incomprehensible_
bait,enticement_lure_temptation_come-on_attraction_
balk,hesitate_refuse_resist_recoil_turn down_
banal,mundane_hackneyed_vapid_stupid_dumb_
banalize,banality_finalize_penalize_banal_analyzer_
bane,ruination_undoing_disaster_downfall_torment_
banish,oust_relegate_eject_ostracize_get rid of_
banishment,expulsion_deportation_expatriation_ouster_ostracism_
bankrupt,insolvent_destitute_broke_lacking_lost_
barbarian,wild_primitive_rough_philistine_barbaric_
barbaric,uncivilized_cruel_inhuman_barbarous_brutal_
barbarically,viciously_fiercely_savagely_in cold blood_meanly_
barbarity,inhumanity_brutality_vulgarity_cruelty_viciousness_
barbarous,vulgar_atrocious_rude_ruthless_inhuman_
barbarously,viciously_fiercely_savagely_in cold blood_meanly_
barren,desolate_sterile_arid_parched_impoverished_
baseless,unwarranted_unsubstantiated_gratuitous_unjustified_groundless_
bash,celebration_spree_wing-ding_
bashed,smash_punch_clobber_whack_slam_
bashful,reticent_sheepish_diffident_coy_confused_
bashing,assault_attack_censure_charge_jumping_
bastard,natural_irregular_phony_fake_imperfect_
bastards,natural_irregular_phony_fake_imperfect_
battered,clobber_mar_demolish_pummel_wreck_
battering,clobber_mar_demolish_pummel_wreck_
batty,nuts_wacky_deranged_foolish_insane_
bearish,short_blunt_brief_direct_frank_
beastly,abominable_animal_barbarous_base_bestial_
bedlam,turmoil_din_disquietude_confusion_commotion_
bedlamite,absurd_asinine_bonkers_cracked_crackers_
befoul,defile_pollute_soil_malign_slander_
beg,urge_beseech_pray_sue_implore_
beggar,vagabond_panhandler_bum_supplicant_deadbeat_
beggarly,abject_broke_destitute_down-and-out_inadequate_
begging,craving_anxious_imploring_in need_
beguile,mislead_deceive_entice_seduce_shave_
belabor,rehash_pound_overwork_repeat_beat a dead horse_
belated,overdue_tardy_delayed_remiss_behindhand_
beleaguer,beset_bedevil_plague_annoy_gnaw_
belie,negate_contradict_repudiate_contravene_deny_
belittle,criticize_decry_squelch_discredit_deride_
belittled,criticize_decry_squelch_discredit_deride_
belittling,criticize_decry_squelch_discredit_deride_
bellicose,antagonistic_combative_threatening_aggressive_argumentative_
belligerence,aggressiveness_antagonism_pugnacity_truculence_bellicosity_
belligerent,combative_contentious_hostile_quarrelsome_ornery_
belligerently,belligerents_flagrantly_
bemoan,mourn_deplore_regret_lament_bewail_
bemoaning,mourn_deplore_regret_lament_bewail_
bemused,distracted_absent_preoccupied_lost_abstracted_
bent,bowed_looped_rounded_arched_crooked_
berate,revile_castigate_scold_chide_upbraid_
bereave,dispossess_oust_sadden_rob_leave_
bereavement,sorrow_deprivation_misfortune_tribulation_distress_
bereft,cut off_destitute_devoid_impoverished_minus_
berserk,crazy_demented_deranged_insane_mad_
beseech,implore_sue_invoke_pray_importune_
beset,bedevil_perplex_besiege_beleaguer_surround_
besiege,encircle_beleaguer_beset_blockade_trap_
besmirch,defile_slander_blacken_dishonor_smear_
bestial,barbarous_beastly_boorish_cruel_depraved_
betray,abandon_mislead_forsake_deceive_seduce_
betrayal,treachery_sellout_deception_dishonesty_treason_
betrayals,treachery_sellout_deception_dishonesty_treason_
betrayer,spy_deceiver_double-crosser_turncoat_fink_
betraying,abandon_mislead_forsake_deceive_seduce_
betrays,abandon_mislead_forsake_deceive_seduce_
bewail,moan_regret_wail_repent_rue_
beware,heed_shun_avoid_mind_notice_
bewilder,mystify_confound_stump_perplex_rattle_
bewildered,perplexed_stunned_puzzled_shocked_startled_
bewildering,mystify_confound_stump_perplex_rattle_
bewilderingly,be wildering_be-wildering_
bewilderment,perplexity_confusion_surprise_discombobulation_daze_
bewitch,dazzle_fascinate_enthrall_captivate_hypnotize_
bias,intolerance_favoritism_tilt_bigotry_prejudice_
biased,tendentious_partisan_
biases,intolerance_favoritism_tilt_bigotry_prejudice_
bicker,squabble_disagree_wrangle_quibble_spar_
bickering,squabble_disagree_wrangle_quibble_spar_
bid-rigging,be-draggling_bedogging_bridging_bragging_dragging_
bigotries,discrimination_racism_bias_injustice_sexism_
bigotry,discrimination_racism_bias_injustice_sexism_
bitch,moan_criticize_grouse_gripe_carp_
