2-faced,farced_facet_fazed_faces_face_
intense,acute_great_excessive_energetic_extraordinary_
interfere,hinder_prevent_intrude_inhibit_impede_
interference,obstruction_conflict_intrusion_intervention_background_
interferes,hinder_prevent_intrude_inhibit_impede_
intermittent,fitful_infrequent_recurrent_occasional_periodic_
interrupt,hinder_cut off_disturb_suspend_halt_
interruption,layoff_letup_intrusion_stoppage_hiatus_
interruptions,layoff_letup_intrusion_stoppage_hiatus_
intimidate,dismay_dishearten_constrain_bully_subdue_
intimidating,aggressive_frightening_terrifying_bullying_pressuring_
intimidatingly,intermediating_inter mediating_inter-mediating_intermittently_
intimidation,coercion_frightening_scare tactics_threatening_demoralizing_
intolerable,unbearable_extreme_painful_impossible_unendurable_
intolerablely,in tolerable_in-tolerable_
intolerance,bigotry_prejudice_dogmatism_narrow-mindedness_
intoxicate,dumbfound_bewilder_puzzle_muddle_distract_
intractable,unmanageable_stubborn_intransigent_uncompromising_incurable_
intransigence,obstinacy_inflexibility_relentlessness_perseverance_contumacy_
intransigent,resolute_inflexible_adamant_obstinate_stubborn_
intrude,infringe_invade_encroach_meddle_interfere_
intrusion,imposition_encroachment_interference_invasion_incursion_
intrusive,nosy_forward_meddlesome_meddling_presumptuous_
inundate,deluge_swamp_flood_engulf_submerge_
inundated,deluge_swamp_flood_engulf_submerge_
invader,alien_attacker_intruder_
invalid,baseless_unscientific_untrue_irrational_inoperative_
invalidate,impair_annul_revoke_undo_abolish_
invalidity,injury_impairment_ailment_infirmity_defect_
invasive,nosy_forward_meddlesome_meddling_presumptuous_
invective,tirade_denunciation_epithet_diatribe_obloquy_
inveigle,bait_urge_ensnare_influence_honey_
invidious,abominable_defamatory_detestable_discriminatory_envious_
invidiously,invidious_infamously_invitingly_in famously_in-famously_
invidiousness,malice_resentment_ill will_prejudice_hatred_
invisible,imperceptible_microscopic_unseen_inconspicuous_concealed_
involuntarily,carefully_cautiously_hesitantly_perforce_unwillingly_
involuntary,forced_uncontrolled_spontaneous_compulsory_unintentional_
irascible,grouchy_cantankerous_testy_cranky_feisty_
irate,enraged_infuriated_livid_incensed_furious_
irately,furiously_madly_violently_fiercely_sharply_
ire,annoyance_fury_exasperation_passion_displeasure_
irk,annoy_disturb_peeve_bother_inconvenience_
irked,annoy_disturb_peeve_bother_inconvenience_
irking,annoy_disturb_peeve_bother_inconvenience_
irks,annoy_disturb_peeve_bother_inconvenience_
irksome,tedious_troublesome_bothersome_irritating_boring_
irksomely,is seemly_unseemly_are seemly_art seemly_un seemly_
irksomeness,irritation_pain_distress_hang-up_bother_
irksomenesses,irritation_pain_distress_hang-up_bother_
ironic,unexpected_mocking_incongruous_twisted_sardonic_
ironical,contemptuous_cynic_derisive_ironic_misanthropic_
ironically,merrily_ridiculously_jokingly_amusingly_absurdly_
ironies,twist_paradox_wit_humor_satire_
irony,twist_paradox_wit_humor_satire_
irragularity,regularity_
irrational,insane_crazy_stupid_incoherent_unreasonable_
irrationalities,foolishness_illogicalness_impracticality_illogicality_insanity_
irrationality,foolishness_illogicalness_impracticality_illogicality_insanity_
irrationally,stupidly_unreasonably_foolishly_
irrationals,irrationally_irrationality_
irreconcilable,implacable_uncompromising_inexorable_incompatible_incongruous_
irrecoverable,forlorn_vain_futile_despondent_sad_


irrecoverably,recoverable_unrecoverable_re coverable_re-coverable_un recoverable_
irredeemable,forlorn_sad_tragic_useless_desperate_
irredeemably,redeemable_irremediable_irritably_
irreformable,irrefutable_more formable_irrevocable_irrefutably_irrevocably_
irregular,uneven_intermittent_capricious_unreliable_sporadic_
irregularity,flaw_inconsistency_distortion_deviation_aberration_
irrelevance,impertinence_inappropriateness_triviality_incongruity_remoteness_
irrelevant,immaterial_trivial_inappropriate_inconsequential_extraneous_
irreparable,irreversible_broken_destroyed_hopeless_impossible_
irreplacible,are plausible_replaceable_irrepressible_irrealizable_re placeable_
irrepressible,buoyant_boisterous_rebellious_ebullient_bubbling_
irresolute,changing_doubtful_doubting_fearful_fickle_
irresolvable,baffling_difficult_impenetrable_indecipherable_inexplicable_
irresponsible,capricious_immature_thoughtless_immoral_carefree_
irresponsibly,haphazardly_negligently_nonchalantly_hastily_offhandedly_
irretating,irritatings_orientating_arresting_irritation_ideating_
irretrievable,forlorn_vain_futile_despondent_sad_
irreversible,permanent_inevitable_certain_changeless_constant_
irritable,contentious_testy_petulant_resentful_fractious_
irritably,furiously_madly_violently_fiercely_sharply_
irritant,bother_trouble_nuisance_burden_aggravation_
irritate,annoy_sour_disturb_aggravate_exasperate_
irritated,troubled_angry_disturbed_bothered_provoked_
irritating,disturbing_annoying_bothersome_trying_provoking_
irritation,soreness_irritability_inflammation_tenderness_susceptibility_
irritations,soreness_irritability_inflammation_tenderness_susceptibility_
isolate,disengage_confine_disconnect_divide_separate_
isolated,secluded_unusual_lonely_remote_segregated_
isolation,solitude_desolation_confinement_segregation_remoteness_
issue,affair_point_question_argument_controversy_
issues,affair_point_question_argument_controversy_
itch,crawling_tickle_rawness_irritation_creeping_
itching,prick_sting_prickle_tickle_irritate_
itchy,crawling_tickling_tingling_crawly_prickling_
jabber,blather_prate_ramble_babble_chatter_
jaded,bored_tired_weary_wearied_dulled_
jagged,craggy_uneven_rugged_irregular_broken_
jam,box_predicament_plight_dilemma_bind_
jarring,harsh_rasping_shrill_clashing_grating_
jaundiced,biased_colored_yellow_prepossessed_distorted_
jealous,skeptical_envious_protective_anxious_suspicious_
jealously,zealously_callously_jealous_
jealousness,callousness_jalousies_jealous_
jealousy,grudge_resentment_enviousness_covetousness_spite_
jeer,quip_taunt_ridicule_scoff_hoot_
jeering,yelling_raucous_scornful_taunting_
jeeringly,jeering_jeerings_jeering at_boringly_daringly_
jeers,quip_taunt_ridicule_scoff_hoot_
jeopardize,threaten_imperil_peril_risk_stake_
jeopardy,peril_precariousness_accident_risk_liability_
jerk,flick_pull_quiver_yank_bump_
jerky,bumpy_bouncy_rough_shaking_fitful_
jitter,disco_waltz_rock_tap_skip_
jitters,anxiety_heebie-jeebies_nerves_dither_shakes_
jittery,jumpy_excitable_restless_fidgety_shaky_
job-killing,cockling_joggling_caballing_kibbling_buckling_
jobless,out of work_between jobs_collecting unemployment benefits_laid off_on the dole_
joke,pun_humor_antic_farce_one-liner_
joker,fool_trickster_stooge_wag_jokester_
jolt,bump_shock_reversal_punch_setback_
judder,tremor_reverberation_oscillation_pulse_fluctuation_
juddering,doddering_guttering_jeering_judging_headering_
judders,tremor_reverberation_oscillation_pulse_fluctuation_
jumpy,restless_frisky_fidgety_shaky_apprehensive_
junk,debris_rubble_trash_clutter_rubbish_
junky,poor_dreadful_atrocious_cheap_unacceptable_
junkyard,depot_ash heap_disposal area_dumping ground_garbage lot_
jutter,juter_cutter_gutter_jotter_jute_
jutters,cutters_jotters_jutties_jutes_nutters_
kaput,dead_destroyed_done for_down the drain_finished_
kill,wipe out_execute_murder_hit_slay_
killed,wipe out_execute_murder_hit_slay_
killer,executioner_hunter_butcher_slayer_soldier_
killing,homicide_massacre_slaughter_manslaughter_carnage_
killjoy,pessimist_complainer_grouch_wet blanket_moaner_
kills,wipe out_execute_murder_hit_slay_
knave,bastard_reprobate_miscreant_villain_rogue_
knife,bayonet_dagger_blade_sword_skewer_
knock,blow_box_lick_hit_clip_
knotted,tangled_looped_bent_engaged_spliced_
kook,screwball_crackpot_lunatic_nut_crazy_
kooky,off-center_crazy_unconventional_freakish_quaint_
lack,loss_shortfall_inadequacy_reduction_dearth_
lackadaisical,lazy_passive_halfhearted_listless_lethargic_
lacked,need_require_want_miss_minus_
lackey,drudge_domestic_valet_butler_retainer_
lackeys,drudge_domestic_valet_butler_retainer_
lacking,inadequate_incomplete_short_needed_impaired_
lackluster,flat_uninspired_boring_blah_blind_
lacks,loss_shortfall_inadequacy_reduction_dearth_
laconic,terse_brusque_pithy_brief_compact_
lag,slow_slacken_wane_fall off_trail_
lagged,slow_slacken_wane_fall off_trail_
lagging,underdeveloped_imbecile_arrested_delayed_behind_
laggy,lag_lagger_baggy_saggy_lager_
lags,slow_slacken_wane_fall off_trail_
laid-off,released_fired_freed_canned_replaced_
lambast,lambest_lamest_bombast_lambent_lambasting_
lambaste,excoriate_scold_berate_upbraid_castigate_
lame,sore_disabled_halt_stiff_deformed_
lame-duck,holdover_incumbent_loser_weakling_crumbling power_
lament,bemoan_deplore_regret_moan_bewail_
lamentable,distressing_unsatisfactory_wretched_pitiful_grievous_
lamentably,sadly_miserably_unhappily_regrettably_disastrously_
languid,lazy_languorous_unhurried_leisurely_laid-back_
languish,dwindle_faint_wither_deteriorate_fail_
languor,inactivity_tiredness_torpor_sluggishness_apathy_
languorous,laid-back_lackadaisical_leisurely_unhurried_apathetic_
languorously,languorous_dangerously_rancorously_
lanky,rangy_gangly_spindly_gaunt_slender_
lapse,offense_failing_miscue_negligence_violation_
lapsed,finished_dead_extinct_terminated_expired_
lapses,offense_failing_miscue_negligence_violation_
lascivious,salacious_pornographic_vulgar_indecent_prurient_
last-ditch,frantic_desperate_final_last-gasp_do-or-die_
latency,inactivity_dormancy_recess_remission_intermission_
laughable,funny_fantastic_farcical_humorous_ludicrous_
laughably,insanely_extremely_foolishly_humorously_comically_
laughingstock,dupe_sport_mockery_butt_
lawbreaker,delinquent_culprit_offender_gangster_mobster_
lawbreaking,crime_offense_violation_
lawless,barbarous_chaotic_turbulent_violent_unruly_
lawlessness,confusion_disorder_chaos_terrorism_irresponsibility_
layoff,cutback_discharge_respite_unemployment_early retirement_

lazy,tired_sleepy_weary_lackadaisical_passive_
leak,exposure_flow_crack_loss_outgoing_
leakage,origin_effusion_ejaculation_escape_proceeding_
leakages,origin_effusion_ejaculation_escape_proceeding_
leaking,disclose_reveal_spill_divulge_ooze_
leaks,exposure_flow_crack_loss_outgoing_
leaky,broken_cracked_faulty_split_
lech,Casanova_libertine_debaucher_playboy_rake_
lecher,Casanova_libertine_debaucher_playboy_rake_
lecherous,carnal_concupiscent_corrupt_fast_hot and heavy_
lechery,carnality_lasciviousness_debauchery_lust_lustfulness_
leech,sycophant_sponge_barnacle_bloodsucker_bum_
leer,stare_eye_smirk_goggle_wink_
leery,distrustful_skeptical_cautious_uncertain_wary_
left-leaning,leaved alone_
lemon,failure_junk_flop_reject_piece of junk_
lengthy,tedious_protracted_long-winded_long_drawn-out_
less-developed,is developed_most flipped_
lesser-known,mis known_mis-known_loose cannon_loose-cannon_misknown_
letch,latch_leach_leech_ketch_lurch_
lethal,mortal_destructive_murderous_noxious_dangerous_
lethargic,languid_sleepy_lackadaisical_passive_listless_
lethargy,inactivity_disinterest_apathy_inertness_sloth_
lewd,naughty_salacious_pornographic_ribald_off-color_
lewdly,viciously_suggestively_depravedly_
lewdness,eroticism_obscenity_pruriency_vulgarity_lechery_
liability,duty_culpability_accountability_burden_obligation_
liable,accountable_amenable_bound_chargeable_obligated_
liar,cheat_perjurer_storyteller_phony_con artist_
liars,cheat_perjurer_storyteller_phony_con artist_
licentious,abandoned_animal_carnal_corrupt_debauched_

licentiousness,impropriety_dissolution_excess_unruliness_laxity_
lie,fiction_falsehood_deception_evasion_myth_
lied,mislead_promote_misrepresent_deceive_pervert_
lier,lifer_limer_liner_liver_leer_
lies,fiction_falsehood_deception_evasion_myth_
life-threatening,lethal_deadly_severe_mortal_serious_
lifeless,barren_bare_inert_uninhabited_comatose_
limit,restriction_ceiling_restraint_cap_maximum_
limitation,control_restriction_cramp_injunction_obstruction_
limitations,control_restriction_cramp_injunction_obstruction_
limited,finite_narrow_particular_fixed_controlled_
limits,restriction_ceiling_restraint_cap_maximum_
limp,supple_listless_soft_flabby_bending_
listless,leaden_languid_lukewarm_sleepy_lackadaisical_
litigious,belligerent_combative_contentious_argumentative_disputable_
little-known,abstruse_academic_arcane_cabalistic_concealed_
livid,blanched_bloodless_colorless_dusky_gloomy_
lividly,lucidly_livid_licitly_lively_avidly_
loath,unwilling_afraid_hesitant_reluctant_counter_
loathe,despise_detest_hate_abhor_abominate_
loathing,enmity_revulsion_disgust_dislike_hatred_
loathly,loathe_lately_deathly_loathed_lightly_
loathsome,vile_disgusting_revolting_abhorrent_slimy_
loathsomely,lithesome_
lone,solitary_lonely_sole_abandoned_alone_
loneliness,heartache_desolation_solitude_alienation_aloneness_
lonely,solitary_desolate_isolated_deserted_reclusive_
loner,outsider_hermit_solitary_introvert_lone wolf_
lonesome,desolate_deserted_lonely_isolated_homesick_
long-time,old-time_skilled_trained_wise_expert_
long-winded,chatty_loquacious_rambling_bombastic_gabby_
longing,eager_yearning_languishing_craving_anxious_
longingly,willingly_cordially_vigorously_sincerely_promptly_
loophole,alternative_technicality_outlet_escape clause_way out_
loopholes,alternative_technicality_outlet_escape clause_way out_
loose,relaxed_sloppy_lax_easy_baggy_
loot,spoils_booty_dough_prize_money_
lorn,abandoned_alone_apart_comfortless_companionless_
lose,suffer_squander_drop_fail_waste_
loser,also-ran_underdog_deadbeat_flop_dud_
losers,also-ran_underdog_deadbeat_flop_dud_
loses,suffer_squander_drop_fail_waste_
losing,falling_defeated_unsuccessful_doomed_failing_
loss,debt_disaster_accident_fall_damage_
losses,debt_disaster_accident_fall_damage_
lost,absent_adrift_disoriented_invisible_vanished_
loud,heavy_lusty_resounding_roaring_ringing_
louder,heavy_lusty_resounding_roaring_ringing_
lousy,poor_shoddy_terrible_second-rate_rotten_
loveless,forsaken_refused_unloved_disliked_spurned_
lovelorn,bereft_dejected_forsaken_jilted_loveless_
low-rated,be rated_be-rated_laureated_located_x rated_
lowly,humble_average_base_common_commonplace_
ludicrous,funny_fantastic_farcical_nonsensical_incongruous_
ludicrously,desperately_furiously_crazily_passionately_violently_
lugubrious,mournful_sorrowful_gloomy_pensive_sad_
lukewarm,tepid_warm_blood-warm_milk-warm_warmish_
lull,layoff_letup_hiatus_breather_hush_
lumpy,bumpy_chunky_irregular_thick_uneven_
lunatic,maniacal_crazed_bananas_maniac_psychotic_
lunaticism,lunatic_
lurch,totter_bumble_teeter_jerk_reel_
lure,decoy_delusion_hook_camouflage_fake_
lurid,sensational_startling_vivid_macabre_gory_
lurk,skulk_crouch_prowl_creep_snoop_
lurking,hidden_sneaking_hiding_
lying,misleading_double-dealing_wrong_two-timing_deceitful_
macabre,spooky_ghastly_ghoulish_grisly_morbid_
mad,fantastic_frenzied_delirious_kooky_nutty_
madden,annoy_distract_exasperate_shatter_infuriate_
maddening,annoying_trying_provoking_vexatious_exasperating_
maddeningly,maidenly_stunningly_matronly_matinal_maternal_
madder,fantastic_frenzied_delirious_kooky_nutty_
madly,desperately_furiously_crazily_passionately_violently_
madman,psychopath_maniac_screwball_oddball_cuckoo_
madness,craziness_lunacy_delusion_foolishness_mental illness_
maladjusted,abnormal_disturbed_muddled_neurotic_unfit_
maladjustment,insanity_depression_derangement_lunacy_madness_
malady,illness_syndrome_Cancer_sickness_disability_
malaise,doldrums_anxiety_pain_angst_weakness_
malcontent,complaining_discontented_disgruntled_unhappy_unsatisfied_
malcontented,blue_complaining_crabby_disaffected_disgruntled_
maledict,imprecate_cuss_execrate_blaspheme_flame_
malevolence,enmity_indignity_malice_evil_hatred_
malevolent,vengeful_malicious_murderous_sinister_vicious_
malevolently,treacherously_unscrupulously_maliciously_basely_crookedly_
malice,grudge_enmity_hostility_bitterness_resentment_
malicious,vengeful_petty_spiteful_vicious_pernicious_
maliciously,treacherously_unscrupulously_basely_crookedly_dishonestly_
maliciousness,spite_malignity_enmity_viciousness_hostility_
malign,antagonistic_antipathetic_bad_baleful_baneful_
malignant,fatal_deadly_cancerous_mortal_lethal_
malodorous,bad_decayed_fetid_foul_frowzy_
maltreatment,injustice_violation_injury_abuse_
mangle,disfigure_wreck_lacerate_bruise_distort_
mangled,disfigure_wreck_lacerate_bruise_distort_
mangles,disfigure_wreck_lacerate_bruise_distort_
mangling,disfigure_wreck_lacerate_bruise_distort_
mania,craziness_fascination_lunacy_rage_passion_
maniac,bigot_freak_lunatic_fanatic_loony_
maniacal,delirious_lunatic_mad_raving_demoniac_
manic,insane_nutty_maniacal_frenzied_berserk_
manipulate,employ_shape_wield_use_work_
manipulation,control_use_handling_administration_direction_
manipulative,wily_shrewd_scheming_canny_devious_
manipulators,schemer_operator_conductor_agent_conspirator_
mar,sully_harm_wreck_tarnish_ruin_
marginal,negligible_minor_minimal_insignificant_bordering_
marginally,kind of_somewhat_lightly_hardly_imperceptibly_
martyrdom,persecution_pain_distress_torture_agony_

mashed,smashed_pressed_mixed_reduced_pasty_
massacre,murder_slaughter_bloodbath_genocide_extermination_
massacres,murder_slaughter_bloodbath_genocide_extermination_
matte,flat_subdued_dim_muddy_somber_
mawkish,mushy_gooey_sloppy_cloying_sappy_
mawkishly,makes holy_mulishly_makes hole_makes haul_makes hay_
mawkishness,sentimentalism_sentiment_mushiness_reminiscence_nostalgia_
meager,paltry_tenuous_scanty_minimum_sparse_
meaningless,worthless_insignificant_trivial_senseless_inconsequential_
meanness,avarice_malice_greed_closeness_disrepute_
measly,paltry_meager_miserly_miserable_pitiful_
meddle,hinder_intrude_tamper_impose_infringe_
meddlesome,pushy_nosy_intrusive_meddling_busy_
mediocre,decent_so-so_middling_undistinguished_uninspired_
mediocrity,normality_commonness_averageness_commonplaceness_
melancholy,pensive_somber_gloomy_wistful_trite_
melodramatic,theatrical_artificial_cloak-and-dagger_exaggerated_ham_
melodramatically,melodramatic_military medal_
meltdown,devastation_accident_crash_disaster_emergency_
menace,peril_plague_hazard_threat_risk_
menacing,frightening_alarming_threatening_dangerous_lowering_
menacingly,severely_sorely_badly_very_intensely_
mendacious,deceitful_deceptive_duplicitous_erroneous_fallacious_
mendacity,deceit_prevarication_deception_lie_falsehood_
menial,humdrum_boring_base_low_routine_
merciless,unrelenting_implacable_inexorable_barbarous_harsh_
mercilessly,viciously_fiercely_savagely_in cold blood_meanly_
mess,turmoil_wreck_confusion_disarray_chaos_
messed,bumble_screw up_err_miscalculate_flub_
messes,turmoil_wreck_confusion_disarray_chaos_
messing,bumble_screw up_err_miscalculate_flub_
messy,chaotic_confused_sloppy_blotchy_careless_
midget,diminutive_baby_pocket_Lilliputian_miniature_
miff,displease_resent_bother_pester_upset_
militancy,hostility_aggressiveness_militance_pugnacity_antagonism_
mindless,silly_thoughtless_senseless_foolish_gratuitous_
mindlessly,endlessly_boundlessly_soundlessly_mendels law_mendels-law_
mirage,fantasy_hallucination_delusion_phantasm_illusion_
mire,quagmire_goo_swamp_fen_dirt_
misalign,mizzling_missing_misfiling_muscling_middling_
misaligned,most aligned_malign_malinger_saline_misled_
misaligns,mislayings_mescalins_mudslings_maskings_minglings_
misapprehend,misread_misinterpret_err_confuse_misconceive_
misbecome,mossback_mass book_mass books_mis_most comer_

misbegotten,bastard_dishonest_disreputable_illegal_natural_
misbehave,trespass_fool around_act up_sin_offend_
misbehavior,impropriety_immorality_insubordination_transgression_misdeed_
miscalculate,overrate_misread_misinterpret_err_undervalue_
miscalculation,misjudgment_error_misunderstanding_misinterpretation_blunder_
miscellaneous,sundry_assorted_confused_conglomerate_different_
mischief,playfulness_evil_wrongdoing_vandalism_misconduct_
mischievous,naughty_impish_sly_rude_malicious_
mischievously,mis chiefs_mis-chiefs_
misconception,delusion_misunderstanding_misinterpretation_fallacy_fault_
misconceptions,delusion_misunderstanding_misinterpretation_fallacy_fault_
miscreant,criminal_reprobate_degenerate_corrupt_depraved_
miscreants,criminal_reprobate_degenerate_corrupt_depraved_
misdirection,mis directing_mis-directing_distraction_striction_dis traction_
miser,stiff_tightwad_harpy_Scrooge_churl_
miserable,wretched_gloomy_tragic_pathetic_sad_
miserableness,gloom_desperation_sorrow_despondency_grief_
miserably,badly_inadequately_unsatisfactorily_deplorably_imperfectly_
miseries,heartache_gloom_hardship_torture_agony_
miserly,tightfisted_abject_avaricious_beggarly_churlish_
misery,heartache_gloom_hardship_torture_agony_
misfit,oddball_freak_outsider_eccentric_dropout_
misfortune,affliction_disappointment_hardship_misadventure_inconvenience_
misgiving,anxiety_hesitation_apprehension_foreboding_mistrust_
misgivings,anxiety_hesitation_apprehension_foreboding_mistrust_
misguidance,misguides_mis guiding_mis-guiding_mis guides_mis-guides_
misguide,mislead_dupe_hoodwink_hoax_outfox_
misguided,unwarranted_erroneous_unreasonable_mistaken_confused_
mishandle,err_botch_flub_muff_fumble_
mishap,misfortune_disaster_setback_blunder_calamity_
misinform,mislead_deceive_lie_pervert_signify_
misinformed,mislead_deceive_lie_pervert_signify_
misinterpret,misread_err_miscalculate_distort_misrepresent_
misjudge,overrate_miscalculate_misconstrue_misunderstand_underestimate_
misjudgment,misunderstanding_misinterpretation_blunder_blow_error_
mislead,fool_lie_misinform_entice_cheat_
misleading,ambiguous_inaccurate_deceitful_wrong_evasive_
misleadingly,mis leading_mis-leading_slightingly_most anile_
mislike,abhor_abominate_avoid_condemn_contemn_
mismanage,mishandle_botch_overlook_blunder_confound_
mispronounce,garble_stutter_skip_miss_
mispronounced,garble_stutter_skip_miss_mispronounce_
mispronounces,garble_stutter_skip_miss_mispronounce_
misread,confuse_misjudge_misinterpret_misconstrue_miscalculate_
misreading,confuse_misjudge_misinterpret_misconstrue_miscalculate_
misrepresent,misinterpret_confuse_exaggerate_overstate_skew_
misrepresentation,exaggeration_misstatement_distortion_untruth_fabrication_
miss,loss_omission_want_default_fault_
missed,misplaced_gone_lost_strayed_moved_
misses,loss_omission_want_default_fault_
misstatement,falsehood_exaggeration_distortion_inaccuracy_fabrication_
mist,rain_steam_fog_moisture_smog_
mistake,omission_misstep_aberration_fault_lapse_
mistaken,erroneous_inaccurate_inappropriate_confused_misled_
mistakenly,falsely_badly_erroneously_erringly_inadvisedly_
mistakes,omission_misstep_aberration_fault_lapse_
mistified,mortified_justified_citified_mistimed_modified_
mistress,sweetheart_paramour_roommate_concubine_girlfriend_
mistrust,wariness_apprehension_foreboding_uncertainty_misgiving_
mistrustful,skeptical_suspicious_leery_wary_cagey_
mistrustfully,distrustfully_mis trustful_mis-trustful_dis trustfully_dis-trustfully_
mists,rain_steam_fog_moisture_smog_
misunderstand,misread_misinterpret_miscalculate_confuse_misjudge_
misunderstanding,misinterpretation_confusion_misjudgment_error_misconception_
misunderstandings,misinterpretation_confusion_misjudgment_error_misconception_
misunderstood,wrong_mistaken_misconceived_mixed up_
misuse,harm_maltreatment_mistreatment_prostitution_exploitation_
moan,gripe_sigh_sob_whine_wail_
mobster,crook_hooligan_soldier_racketeer_thug_
mock,make-believe_bogus_phony_simulated_dummy_
mocked,tease_taunt_scoff_insult_deride_
mockeries,farce_travesty_sham_caricature_deception_
mockery,farce_travesty_sham_caricature_deception_
mocking,derisive_sarcastic_insulting_rude_unkind_
mockingly,mocking_jokingly_mockings_shockingly_kingly_
mocks,make-believe_bogus_phony_simulated_dummy_
molest,fondle_accost_maltreat_rape_injure_
molestation,aggravation_distress_strain_irritation_perplexity_
monotonous,tedious_repetitious_boring_repetitive_dreary_
monotony,tedium_similarity_dreariness_humdrum_flatness_
monster,giant_devil_freak_behemoth_horror_
monstrosities,abnormality_monster_hideousness_horror_deformity_
monstrosity,abnormality_monster_hideousness_horror_deformity_
monstrous,atrocious_freakish_obscene_preposterous_horrendous_
monstrously,badly_brutally_cruelly_outrageously_grotesquely_
moody,downcast_melancholy_cross_sulky_angry_
moot,problematic_unresolved_unsettled_debatable_suspect_
mope,brood_sulk_chafe_despond_grumble_
morbid,pessimistic_melancholy_macabre_unnatural_ghoulish_
morbidly,insanely_gruesomely_unwholesomely_weirdly_
mordant,biting_caustic_scathing_acerbic_sardonic_
mordantly,modestly_ardently_momently_radiantly_mantle_
moribund,done for_doomed_fading_fated_going_
moron,idiot_boob_nerd_fool_dummy_
moronic,irresponsible_idiotic_dumb_dopey_foolish_
morons,idiot_boob_nerd_fool_dummy_
mortification,abasement_disgrace_affront_embarrassment_condescension_
mortified,annoy_disgrace_subdue_displease_chagrin_
mortify,annoy_disgrace_subdue_displease_chagrin_
mortifying,annoy_disgrace_subdue_displease_chagrin_
motionless,immobile_inert_steadfast_frozen_lifeless_
motley,kaleidoscopic_disparate_conglomerate_rainbow_assorted_
mourn,moan_sob_regret_wail_agonize_
mourner,pallbearer_wailer_sorrower_griever_weeper_
mournful,forlorn_sad_bereft_cheerless_depressed_
mournfully,severely_sadly_passionately_thoroughly_profoundly_
muddle,dilemma_clutter_perplexity_jumble_plight_
muddy,flat_swampy_soggy_marshy_dull_
mudslinger,doubter_complainant_quibbler_caviler_censor_
mudslinging,character assassination_defamation_slander_dirty politics_negative campaign_
mulish,adamant_bullheaded_dogged_firm_hardheaded_

mundane,prosaic_normal_humdrum_banal_everyday_
murder,homicide_lynching_massacre_felony_crime_
murderer,executioner_criminal_soldier_assassin_homicide_
murderous,savage_ferocious_deadly_devastating_brutal_
murderously,brutally_savagely_viciously_violently_wickedly_
murky,dim_stormy_misty_muddy_dreary_

mushy,muddy_spongy_squishy_gelatinous_pap_
musty,putrid_ancient_crumbling_stale_fetid_
mysterious,enigmatic_mystical_mystifying_perplexing_puzzling_
mysteriously,mysterial_monstrously_lustrously_murderously_mysteries_
mystery,riddle_conundrum_subtlety_question_enigma_
mystify,confound_stump_perplex_puzzle_baffle_
myth,parable_imagination_illusion_superstition_legend_
nag,annoy_fuss_tease_pester_scold_
nagging,troublesome_grievous_excruciating_terrible_inflamed_
naive,innocent_simple_sincere_ignorant_unsophisticated_
naively,foolishly_stupidly_credulously_ingenuously_
narrower,precise_limited_slim_definite_precarious_
nastily,nasty_lastly_pastil_vastly_nestle_
nastiness,spite_malignity_enmity_hate_meanness_
nasty,tough_murderous_vile_noxious_vulgar_
naughty,impish_rowdy_playful_mischievous_headstrong_
nauseate,horrify_sicken_repulse_disturb_bother_
nauseates,horrify_sicken_repulse_disturb_bother_
nauseating,sickening_disgusting_revolting_abhorrent_detestable_
nauseatingly,unsettingly_lastingly_nausea_
na?ve,nay_n_nab_nag_nap_
nebulous,ambiguous_murky_shadowy_amorphous_hazy_
nebulously,covertly_dully_indefinitely_secretly_vaguely_
needless,pointless_excessive_gratuitous_inessential_nonessential_
needlessly,endlessly_needless_needles_
needy,poor_underprivileged_poverty-stricken_penniless_disadvantaged_
nefarious,outrageous_vile_vicious_odious_heinous_
nefariously,furiously_nervously_notoriously_
negate,invalidate_reverse_neutralize_void_undo_
negation,renunciation_antithesis_repudiation_proscription_nullity_
negative,unfavorable_adverse_pessimistic_gloomy_weak_
negatives,refutation_denial_nay_refusal_disavowal_
negativity,antagonism_negativeness_negativism_dubiousness_adversity_
neglect,disrespect_carelessness_indifference_oversight_inadvertence_
neglected,unused_overlooked_deserted_unwanted_decayed_
negligence,disregard_failure_oversight_neglect_laxity_
negligent,inattentive_lax_inadvertent_sloppy_cursory_
nemesis,adversary_ruination_curse_scourge_rival_
nepotism,partisanship_discrimination_bias_inequity_preference_
nervous,shaky_apprehensive_irritable_afraid_concerned_
nervously,excitedly_restlessly_anxiously_apprehensively_
nervousness,tension_stress_impatience_agitation_sensitivity_
nettle,tiff_sting_pique_rile_snit_
nettlesome,distressing_troublesome_nagging_annoying_irksome_
neurotic,manic_distraught_compulsive_disturbed_upset_
neurotically,neurotics_neurotic_critically_periodically_juridically_
niggle,cavil_moan_grumble_grouse_carp_
niggles,cavil_moan_grumble_grouse_carp_
nightmare,horror_ordeal_fantasy_hallucination_dream_
nightmarish,dreadful_scary_horrid_macabre_spooky_

nitpick,cavil_carp_quibble_
nitpicking,captious_hairsplitting_
noise,cry_explosion_roar_cacophony_commotion_
noises,cry_explosion_roar_cacophony_commotion_
noisier,cacophonous_vociferous_rambunctious_rowdy_clamorous_
noisy,cacophonous_vociferous_rambunctious_rowdy_clamorous_

nonexistent,absent_vacant_negative_tenuous_airy_
nonresponsive,un responsive_un-responsive_
