DATE	COMPANY	worked	led	kudos	recovery	fastest	amazing	fascinating	lover	generously	errors	disaster	gritty	foe	agony	scare	tragic	cloud	cripple	tank	shocked	hostage	shark	hater	uncomfortably	puppet	vent	delays	refutes	scam	steals	scarcity	penalty	STOCK VALUE	
2016-09-16	INTC	0.00182958703607	0.00287506534239	0.000261369576581	0.00130684788291	0.00209095661265	0.000784108729744	0.0	0.000784108729744	0.0	0.000522739153163	0.00104547830633	0.000261369576581	0.000522739153163	0.0	0.0	0.0	0.0219550444328	0.0	0.00156821745949	0.0	0.0	0.000784108729744	0.0	0.0	0.0	0.0	0.00156821745949	0.000522739153163	0.0	0.0	0.0	0.000522739153163	-	
2016-09-17	INTC	0.00294599018003	0.00851063829787	0.0	0.000981996726678	0.00261865793781	0.000327332242226	0.0	0.0	0.0	0.000654664484452	0.00196399345336	0.000327332242226	0.000654664484452	0.000327332242226	0.0	0.0	0.0124386252046	0.0	0.000654664484452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00196399345336	0.000327332242226	0.0	0.0	0.000981996726678	0.0	-	
2016-09-18	INTC	0.00275766976905	0.00361944157187	0.000172354360565	0.00172354360565	0.00241296104791	0.00137883488452	0.000689417442261	0.000172354360565	0.0	0.0	0.00258531540848	0.0	0.0	0.0	0.000344708721131	0.0	0.0265425715271	0.0	0.00103412616339	0.000172354360565	0.0	0.000344708721131	0.0	0.000344708721131	0.000172354360565	0.0	0.000344708721131	0.0	0.0	0.000172354360565	0.0	0.000172354360565	+	
2016-09-19	INTC	0.00350262697023	0.00372154115587	0.000437828371278	0.00131348511384	0.00153239929947	0.000437828371278	0.0	0.00153239929947	0.0	0.0010945709282	0.00153239929947	0.0	0.0	0.0	0.0	0.000218914185639	0.0310858143608	0.0	0.000875656742557	0.000218914185639	0.0	0.000437828371278	0.0	0.0	0.000218914185639	0.0	0.000656742556918	0.0	0.0	0.000218914185639	0.0	0.000437828371278	-	
2016-09-20	INTC	0.0037823072074	0.00609371716747	0.000210128178189	0.00315192267283	0.0018911536037	0.000420256356377	0.000210128178189	0.00168102542551	0.0	0.000420256356377	0.0018911536037	0.0	0.0	0.0	0.0	0.000210128178189	0.0437066610632	0.0	0.0	0.000210128178189	0.0	0.0	0.0	0.0	0.0	0.0	0.000630384534566	0.0	0.0	0.000210128178189	0.0	0.000210128178189	-	
2016-09-23	INTC	0.0012278978389	0.0036836935167	0.0	0.00196463654224	0.00171905697446	0.00024557956778	0.0	0.00024557956778	0.0	0.0	0.0012278978389	0.00024557956778	0.0	0.0	0.0	0.0	0.0321709233792	0.00024557956778	0.00147347740668	0.0	0.0	0.0012278978389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024557956778	0.0	0.00147347740668	-	
2016-09-24	INTC	0.00104329681794	0.0109546165884	0.0	0.00469483568075	0.000521648408972	0.00417318727178	0.0	0.000521648408972	0.0	0.0	0.00104329681794	0.0	0.0	0.0	0.0	0.0	0.0297339593114	0.000521648408972	0.00156494522692	0.0	0.0	0.00156494522692	0.0	0.0	0.000521648408972	0.000521648408972	0.0	0.0	0.0	0.0	0.0	0.0	+	
2016-09-25	INTC	0.00426569165143	0.00589071704245	0.0	0.000609384521633	0.00243753808653	0.00284379443429	0.00101564086939	0.000812512695511	0.0	0.000812512695511	0.00385943530368	0.0	0.0	0.000203128173878	0.000203128173878	0.0	0.024984765387	0.0	0.000812512695511	0.0	0.0	0.00121876904327	0.0	0.0	0.000203128173878	0.000203128173878	0.000203128173878	0.0	0.000406256347755	0.000406256347755	0.0	0.000203128173878	+	
2016-09-26	INTC	0.00278448115834	0.00371264154446	0.0	0.000371264154446	0.00464080193057	0.000742528308892	0.0	0.000556896231669	0.0	0.00111379246334	0.00445516985335	0.0	0.0	0.000185632077223	0.000185632077223	0.0	0.0356413588268	0.000185632077223	0.000556896231669	0.000371264154446	0.0	0.000928160386115	0.0	0.0	0.0	0.0	0.000556896231669	0.0	0.0	0.000185632077223	0.0	0.000185632077223	-	
2016-09-27	INTC	0.00295732995353	0.00443599493029	0.0	0.00232361639206	0.00401351922264	0.00211237853823	0.0	0.000844951415294	0.0	0.0	0.0027460920997	0.0	0.0	0.0	0.000211237853823	0.0	0.0318969159273	0.000211237853823	0.00063371356147	0.00063371356147	0.000422475707647	0.000422475707647	0.0	0.000211237853823	0.0	0.0	0.000422475707647	0.0	0.00105618926912	0.000211237853823	0.0	0.0	+	
