DATE	COMPANY	innovative	immense	aspirations	insightful	poised	prowess	superior	harassment	vomiting	steal	shocked	broken	skeptical	adverse	STOCK VALUE	
2016-10-18	Merck	0.00459981600736	0.00275988960442	0.000919963201472	0.0	0.00275988960442	0.0	0.0	0.000459981600736	0.000919963201472	0.0	0.00183992640294	0.0	0.0	0.00137994480221	-	
2016-10-21	Merck	0.00555555555556	0.00138888888889	0.0	0.0	0.0	0.0	0.00138888888889	0.0	0.0	0.0	0.00416666666667	0.0	0.0	0.0138888888889	-	
2016-10-22	Merck	0.00600600600601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00600600600601	0.0	0.0	0.027027027027	+	
2016-10-23	Merck	0.00502873563218	0.0	0.0	0.000718390804598	0.000718390804598	0.0	0.00215517241379	0.000718390804598	0.0	0.0	0.00502873563218	0.0	0.0	0.014367816092	-	
2016-10-24	Merck	0.0041539134237	0.0	0.0	0.0002186270223	0.0	0.0	0.0017490161784	0.0006558810669	0.0002186270223	0.0	0.0039352864014	0.0002186270223	0.0	0.0050284215129	+	
2016-10-25	Merck	0.00300751879699	0.0	0.0	0.0	0.0	0.000214822771214	0.00107411385607	0.000429645542427	0.00257787325456	0.0	0.00257787325456	0.0	0.0	0.00429645542427	-	
2016-10-28	Merck	0.00579710144928	0.00144927536232	0.000724637681159	0.000724637681159	0.0	0.0	0.0	0.0	0.0	0.0	0.00144927536232	0.00144927536232	0.0	0.000724637681159	-	
2016-10-29	Merck	0.00247831474597	0.0	0.0	0.00123915737299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00123915737299	+	
2016-10-30	Merck	0.0015923566879	0.0	0.0	0.0	0.0015923566879	0.0	0.0015923566879	0.0	0.0	0.0	0.0015923566879	0.0	0.000796178343949	0.0015923566879	-	
2016-10-31	Merck	0.00308008213552	0.0	0.0	0.000513347022587	0.00102669404517	0.0	0.00154004106776	0.000513347022587	0.0	0.0	0.00154004106776	0.00102669404517	0.000513347022587	0.00205338809035	-	
2016-11-01	Merck	0.00380021715527	0.0	0.000271444082519	0.000271444082519	0.00190010857763	0.000271444082519	0.000271444082519	0.000542888165038	0.0	0.000271444082519	0.00298588490771	0.00108577633008	0.0	0.000814332247557	+	
2016-11-04	Merck	0.00313725490196	0.0	0.0	0.0	0.0	0.0	0.0	0.00078431372549	0.0	0.0	0.00313725490196	0.0	0.0	0.0	+	
2016-11-05	Merck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030303030303	0.0030303030303	0.0	0.0	+	
2016-11-06	Merck	0.00356506238859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000891265597148	0.000891265597148	0.0	0.0017825311943	+	
2016-11-07	Merck	0.00451807228916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00225903614458	+	
2016-11-08	Merck	0.00953137410643	0.0	0.0	0.00158856235107	0.000794281175536	0.000794281175536	0.0	0.0	0.0	0.000794281175536	0.00238284352661	0.0	0.0	0.0	-	
2016-11-11	Merck	0.00840336134454	0.00105042016807	0.0	0.0	0.00210084033613	0.0	0.00525210084034	0.0	0.0	0.00105042016807	0.00210084033613	0.0	0.0	0.0	-	
2016-11-12	Merck	0.00977995110024	0.00366748166259	0.0	0.0	0.0	0.0	0.00122249388753	0.0	0.00244498777506	0.0	0.00122249388753	0.0	0.0	0.0110024449878	-	
2016-11-13	Merck	0.0064308681672	0.00137804317869	0.000459347726229	0.000459347726229	0.0	0.0	0.00183739090492	0.0	0.000918695452458	0.0	0.000459347726229	0.000459347726229	0.0	0.00597152044097	-	
2016-11-14	Merck	0.00411805078929	0.0	0.000686341798216	0.000686341798216	0.0	0.0	0.00205902539465	0.0	0.0	0.0	0.0	0.000686341798216	0.0	0.00274536719286	+	
2016-11-15	Merck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-	
2016-11-18	Merck	0.00641025641026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+	
2016-11-19	Merck	0.0164744645799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-	
2016-11-20	Merck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+	
